Item,Link,Step/STL File,Price (bf tax + ship),Quantity,Total
ligihting resistor,https://www.digikey.com/en/products/detail/yageo/RC0805FR-13470RL/14287677?gad_source=1&gad_campaignid=17335707486&gbraid=0AAAAADrbLlhVc93_s6E8uaIuN5tZzR-_j&gclid=CjwKCAjw7fzDBhA7EiwAOqJkh6SjgU5tvYCDcH23XbF9Sm-n1YFcr90ZDsH0mtF9SQlWFqA2rrIOJBoCB7sQAvD_BwE&gclsrc=aw.ds,N/A,0.1,3,0.6
Power Connector,https://www.digikey.com/en/products/detail/w-rth-elektronik/691137710002/6644051?gad_source=1&gad_campaignid=20783325532&gbraid=0AAAAADrbLliVhFDAqSriuXbsC1EiN0tFu&gclid=CjwKCAjw7fzDBhA7EiwAOqJkh-Bb2QKet9_pYhijm2KMMvVEnmYei8YaacJxVmhynZg-Uwv72SVy0hoCbP0QAvD_BwE&gclsrc=aw.ds,N/A,0.74,1,1.48
Servo connector,https://www.digikey.com/en/products/detail/w-rth-elektronik/61300311121/4846825?gad_source=1&gad_campaignid=20783325532&gbraid=0AAAAADrbLliVhFDAqSriuXbsC1EiN0tFu&gclid=CjwKCAjw7fzDBhA7EiwAOqJkh7k0ZqGigQ8fIXtJe9X_ndHCoqhIOY7n4aBzgHr9SU1ySnTK-kh5cBoC0dIQAvD_BwE&gclsrc=aw.ds,N/A,0.12,2,0.48
Sensor board male,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B4B-XH-A/1651047,N/A,0.14,1,0.28
Sensor female,https://www.digikey.com/en/products/detail/jst-sales-america-inc/XHP-4/683353?gad_source=1&gad_campaignid=20783325532&gbraid=0AAAAADrbLliVhFDAqSriuXbsC1EiN0tFu&gclid=CjwKCAjw7fzDBhA7EiwAOqJkh9NHV0fgVVolWw4eS8IlJ5sSFwxfHwGC5bGIJy-NbtyIyNqZi9RRExoCljAQAvD_BwE&gclsrc=aw.ds,N/A,0.1,1,0.2
Sensor Connector,https://www.digikey.com/en/products/detail/jst-sales-america-inc/ASXHSXH22K254/9961919?gad_source=1&gad_campaignid=20783325532&gbraid=0AAAAADrbLliVhFDAqSriuXbsC1EiN0tFu&gclid=CjwKCAjw7fzDBhA7EiwAOqJkh5DnN7jklYFYkHG5uHZpRNlbtVd7Oir44CJWwkA4VteMcgy3hPduHxoCmasQAvD_BwE&gclsrc=aw.ds,N/A,0.77,4,6.16
Indicator board male,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B4B-XH-A/1651047,N/A,0.14,1,0.28
Indicator Female,https://www.digikey.com/en/products/detail/jst-sales-america-inc/XHP-4/683353?gad_source=1&gad_campaignid=20783325532&gbraid=0AAAAADrbLliVhFDAqSriuXbsC1EiN0tFu&gclid=CjwKCAjw7fzDBhA7EiwAOqJkh9NHV0fgVVolWw4eS8IlJ5sSFwxfHwGC5bGIJy-NbtyIyNqZi9RRExoCljAQAvD_BwE&gclsrc=aw.ds,N/A,0.1,1,0.2
Indicator Connector,https://www.digikey.com/en/products/detail/jst-sales-america-inc/ASXHSXH22K254/9961919?gad_source=1&gad_campaignid=20783325532&gbraid=0AAAAADrbLliVhFDAqSriuXbsC1EiN0tFu&gclid=CjwKCAjw7fzDBhA7EiwAOqJkh5DnN7jklYFYkHG5uHZpRNlbtVd7Oir44CJWwkA4VteMcgy3hPduHxoCmasQAvD_BwE&gclsrc=aw.ds,N/A,0.77,4,6.16
Lightning Board Male,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B3B-XH-A/1651046?gQT=2,N/A,0.11,1,0.22
Lightning Female,https://www.digikey.com/en/products/detail/jst-sales-america-inc/XHP-3/1651017?gad_source=1&gad_campaignid=20783325532&gbraid=0AAAAADrbLliVhFDAqSriuXbsC1EiN0tFu&gclid=CjwKCAjw7fzDBhA7EiwAOqJkh0szjal3su0_NWrAzNAr5G-FByRr-OJ676SJIIHM14zMB8CPOGMTzxoCA6UQAvD_BwE&gclsrc=aw.ds,N/A,0.1,1,0.2
Lightning Connector,https://www.digikey.com/en/products/detail/jst-sales-america-inc/ASXHSXH22K102/9961917?gad_source=1&gad_campaignid=20783325532&gbraid=0AAAAADrbLliVhFDAqSriuXbsC1EiN0tFu&gclid=CjwKCAjw7fzDBhA7EiwAOqJkhzK51Ulog5UlvsnLFx2dJwa5w1kF-NlyuTQiaTBXq1XXI8Fw2hAuwhoCB_AQAvD_BwE&gclsrc=aw.ds,N/A,0.71,3,4.26
Camera Connector,https://www.digikey.com/en/products/detail/gct/FFC2B35-24-T/15970899?gad_source=1&gad_campaignid=20783325532&gbraid=0AAAAADrbLliVhFDAqSriuXbsC1EiN0tFu&gclid=CjwKCAjw7fzDBhA7EiwAOqJkh5T_thEZS1M6HrS-AfnBT7NRnk53y2lwZdgMWC0IgW4F0ARWhsPKfxoCWAgQAvD_BwE&gclsrc=aw.ds,N/A,0.44,1,0.88
Camera Wire,https://www.digikey.com/en/products/detail/gct/05-24-D-0101-A-4-06-4-T/21266768?gad_source=1&gad_campaignid=20783325532&gbraid=0AAAAADrbLliVhFDAqSriuXbsC1EiN0tFu&gclid=CjwKCAjw7fzDBhA7EiwAOqJkhzU6E8l8bZqvpxGzcDuJ6DBf5WbZ8UexZIeN3UTRr_NjPMQn-uATjxoCW9sQAvD_BwE&gclsrc=aw.ds,N/A,1.29,1,2.58
Regular wire,https://www.amazon.com/Fermerry-Stranded-Electrical-Silicone-Cables/dp/B089CHVN7G?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&gQT=0&th=1,N/A,9.99,0.5,9.99
Foam for pcb,https://www.aliexpress.us/item/3256805442378894.html?src=google&pdp_npi=4%40dis%21USD%212.22%212.22%21%21%21%21%21%40%2112000033806745946%21ppc%21%21%21&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256805442378894&ds_e_product_merchant_id=550323114&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=19678427463&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=19686402437&gbraid=0AAAAAD6I-hHbTWnjWfXa3b0JiSIiDnXs9&gclid=Cj0KCQjwnJfEBhCzARIsAIMtfKLkC6tFrY03lzOqCGZFSbhi-ocjRXtpVGObKZPs3HCTurApQOjS8mcaApdxEALw_wcB&gatewayAdapt=glo2usa,N/A,6.58,0.5,6.58
Screws,https://www.homedepot.com/p/Everbilt-M3-0-5-x-10-mm-Plain-Metric-Socket-Cap-Screw-3-Piece-per-Bag-803188/204808024?g_store=2728&source=shoppingads&locale=en-US&gStoreCode=2728&gQT=1,N/A,2.25,2,9
More Screws,https://www.homedepot.com/p/Prime-Line-M2-0-4-x-20-mm-Black-Oxide-Coated-Steel-Class-12-9-Metric-Internal-Hex-Socket-Head-Set-Screws-10-Pack-9180136/311732337,N/A,4.99,0.5,4.99
Magnets,https://www.aliexpress.us/item/3256807909032358.html?src=google&pdp_npi=4%40dis%21USD%217.18%214.06%21%21%21%21%21%40%2112000043701895592%21ppc%21%21%21&snpsid=1&snps=y&snpsid=1&src=google&albch=shopping&acnt=742-864-1166&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=_oDeeeiG&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256807909032358&ds_e_product_merchant_id=5551326180&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=22443129574&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=22443130765&gbraid=0AAAAA99aYpd2U62zy7NJbxugve-htRI8R&gclid=Cj0KCQjw-ZHEBhCxARIsAGGN96LJc0CtVUfNG208x3nD6uTlhOKRtQ0U2k0tnoKhLppi9lUUB-NWHHAaAvCEEALw_wcB&gatewayAdapt=glo2usa,N/A,0.99,1,1.98
Shipping + Tax,,,,,35
,,,,,142.24
